type,text,platform,wait_sec,thread,next_thread,terminal,option_a_text,option_a_thread,option_b_text,option_b_thread
self,Hey Ana! Nice to meet you :),tinder,0,a,,,,,,
self,How was your day?,tinder,0,a,,,,,,
girl,Hey :),tinder,0,a,,,,,,
girl,"It was good, work work work lol",tinder,0,a,,,,,,
girl,And you?,tinder,0,a,,,,,,
self,Hahaha same,tinder,0,a,,,,,,
self,What do you do for work?,tinder,0,a,,,,,,
girl,I'm a pharmacist,tinder,0,a,,,,,,
girl,And you?,tinder,0,a,,,,,,
branch,Decision time...,tinder,0,a,,,Make a bad joke and be playful,b,Play it straight and let her know you have an impressive job,c
self,I'm a professional juggler,tinder,0,b,,,,,,
self,"Kidding. Sorry, that was lame",tinder,0,b,,,,,,
self,I'm a software engineer,tinder,0,b,,,,,,
girl,Hahaha. That's really cool actually,tinder,0,b,,,,,,
narrator,Nice work. Making fun of yourself showed some confidence. Now...,tinder,0,b,,,,,,
branch,,tinder,0,b,d,,,,,
self,I'm a software engineer at Google actually,tinder,0,c,,,,,,
girl,"Ah, one of those guys haha",tinder,0,c,,,,,,
self,"Hahaha, what does that mean?",tinder,0,c,,,,,,
girl,"Oh you know, tech bros lol",tinder,0,c,,,,,,
self,I wouldn't say I'm a tech bro haha,tinder,0,c,,,,,,
girl,"Okay haha, good to know",tinder,0,c,,,,,,
narrator,Ouch. Got burned a little there. Moving on...,tinder,0,c,,,,,,
branch,,tinder,0,c,d,,,,,
branch,,tinder,0,d,,,Start getting at her intentions on this app,e,Express interest in her job,f
self,So have you met any cool people on this app?,tinder,0,e,,,,,,
girl,Well I met you ;),tinder,0,e,,,,,,
self,Awww you're sweet,tinder,0,e,,,,,,
girl,What about you?,tinder,0,e,,,,,,
branch,,tinder,0,e,g,,,,,
self,So what got you interested in becoming a pharmacist?,tinder,0,f,,,,,,
girl,"I don't know haha, it pays well",tinder,0,f,,,,,,
girl,job stability,tinder,0,f,,,,,,
self,fair enough haha,tinder,0,f,,,,,,
narrator,Hmmm. That subject didn't seem to interesting to her. Let's try this...,tinder,0,f,,,,,,
self,So have you met any cool people on this app?,tinder,0,f,,,,,,
girl,Well I met you ;),tinder,0,f,,,,,,
self,Awww you're sweet,tinder,0,f,,,,,,
girl,What about you?,tinder,0,f,,,,,,
branch,,tinder,0,f,g,,,,,
branch,"Okay, so she's into it, but now you're in spotlight.",tinder,0,g,,,Be honest about your love life,h,Shrug it off and move forward,i
self,"Yeah, I've met some great women on this app",tinder,0,h,,,,,,
girl,Lol. So you meet a lot of girls?,tinder,0,h,,,,,,
self,Hahaha,tinder,0,h,,,,,,
self,Mayyybeee,tinder,0,h,,,,,,
girl,LOL,tinder,0,h,,,,,,
self,"Sorry, may have been too honest there",tinder,0,h,,,,,,
girl,It's all good. I can appreciate that,tinder,0,h,,,,,,
self,Thanks haha,tinder,0,h,,,,,,
self,And are you saying you haven't met guys from here?,tinder,0,h,,,,,,
girl,Well I never said that ;) hahaa,tinder,0,h,,,,,,
self,Hahaha nice,tinder,0,h,,,,,,
self,Good experience?,tinder,0,h,,,,,,
girl,For the most part. There are some creeps on here,tinder,0,h,,,,,,
self,"Oh bummer. Yeah, I've heard some stories from my girl friends",tinder,0,h,,,,,,
self,I think there are a some good people on here too,tinder,0,h,,,,,,
girl,Are you a good person? hahaha,tinder,0,h,,,,,,
girl,Jk,tinder,0,h,,,,,,
self,I like to think so lol,tinder,0,h,,,,,,
narrator,Nice work. ,tinder,0,h,,,,,,
branch,,tinder,0,h,j,,,,,
self,Hmmm. I haven't really met anyone yet,tinder,0,i,,,,,,
girl,Really? You haven't been on a Tinder date?,tinder,0,i,,,,,,
self,I mean I may have been on or two,tinder,0,i,,,,,,
girl,Lol,tinder,0,i,,,,,,
girl,So you have met people then?,tinder,0,i,,,,,,
self,"Well yeah, just not that many haha",tinder,0,i,,,,,,
girl,I see lol,tinder,0,i,,,,,,
narrator,Whomp whomp.,tinder,0,i,,,,,,
branch,,tinder,0,i,j,,,,,
branch,,tinder,0,j,,,Push the envelope and find out what she's looking for,k,Be forward and ask her out?,l
self,"So what are you looking for on this app? Dating, relationship, friends, fun?",tinder,0,k,,,,,,
girl,Hahahaha,tinder,0,k,,,,,,
girl,"Straight to the point, huh?",tinder,0,k,,,,,,
self,Hahaha,tinder,0,k,,,,,,
girl,It would be awesome to meet someone that I really click with,tinder,0,k,,,,,,
self,Right on. I respect that,tinder,0,k,,,,,,
girl,Hahaha. And you?,tinder,0,k,,,,,,
girl,Fun? ;),tinder,0,k,,,,,,
narrator,"You doubled down, and now she's calling you out.",tinder,0,k,,,,,,
branch,,tinder,0,k,m,,,,,
self,So would you like to have dinner sometime?,tinder,0,l,,,,,,
girl,Sure haha,tinder,0,l,,,,,,
self,Cool,tinder,0,l,,,,,,
self,What's your schedule like?,tinder,0,l,,,,,,
narrator,"Sorry to say, this is where the conversation dies. Better luck next time",tinder,0,l,,,,,,
branch,,tinder,0,l,,TRUE,,,,
branch,,tinder,0,m,,,Be honest about your casual intentions,n,Agree with her and lock in the date,o
self,Hahaha good question,tinder,0,n,,,,,,
self,"I guess if I'm honest with myself, I just got out of a relationship, and have been focusing on work",tinder,0,n,,,,,,
self,"So dating, friends, and fun. I generally like meeting new people :)",tinder,0,n,,,,,,
girl,Me too :),tinder,0,n,,,,,,
self,It would be fun to meet in person sometime. Let me know if you'd like to get coffee or lunch someday.,tinder,0,n,,,,,,
self,"My number is 555.555.5555 full name is Colin Potrero, for Facebook stalking purposes ;) ",tinder,0,n,,,,,,
girl,I'd like that haha.,tinder,0,n,,,,,,
girl,My number is 555.555.5555,tinder,0,n,,,,,,
narrator,"Awesome. You were up front, and now you're on the same page.",tinder,0,n,,,,,,
branch,,tinder,0,n,p,,,,,
self,I didn't mean it like that haha,tinder,0,o,,,,,,
girl,Really? lol,tinder,0,o,,,,,,
self,"Nah, I would say that I'm looking for someone that I really click with as well",tinder,0,o,,,,,,
girl,So you're more the relationship type?,tinder,0,o,,,,,,
self,"Yeah, I mean relationships and dating",tinder,0,o,,,,,,
girl,Haha okay,tinder,0,o,,,,,,
self,It would be fun to meet in person sometime. Let me know if you'd like to get coffee or lunch someday.,tinder,0,o,,,,,,
self,"My number is 555.555.5555 full name is Colin Potrero, for Facebook stalking purposes ;) ",tinder,0,o,,,,,,
girl,I'd like that haha.,tinder,0,o,,,,,,
girl,My number is 555.555.5555,tinder,0,o,,,,,,
narrator,"Well, you got the date. But does she really have the right impression for what you want?",tinder,0,o,,,,,,
branch,,tinder,0,o,p,,,,,
narrator,Good move with putting her in control of the date. Lunch or coffee during the day is always a safe bet.,tinder,0,p,,,,,,
branch,,tinder,0,p,q,,,,,
self,Hello there :) This is Colin,iMessage,0,q,,,,,,
girl,heyyy,iMessage,0,q,,,,,,
self,hahaha,iMessage,0,q,,,,,,
self,what are you up to right now?,iMessage,0,q,,,,,,
girl,"just off work, heading to the gym",iMessage,0,q,,,,,,
self,nice,iMessage,0,q,,,,,,
self,what do you like to do for exercise?,iMessage,0,q,,,,,,
girl,I usually take the classes haha,iMessage,0,q,,,,,,
girl,tonight i'm taking the kickboxing one,iMessage,0,q,,,,,,
self,oh cool!,iMessage,0,q,,,,,,
self,remind me not to mess with you haha,iMessage,0,q,,,,,,
girl,"yeah, you better not ;)",iMessage,0,q,,,,,,
self,hahaha,iMessage,0,q,,,,,,
self,of course not,iMessage,0,q,,,,,,
self,so what's your schedule like this week?,iMessage,0,q,,,,,,
girl,hmmmm,iMessage,0,q,,,,,,
girl,"i'm free on Saturday during the day, but work in the late afternoon",iMessage,0,q,,,,,,
girl,or in the evening on Wednesday and Thursday,iMessage,0,q,,,,,,
self,cool cool,iMessage,0,q,,,,,,
self,would you like to meet for dinner in the city on Thursday evening?,iMessage,0,q,,,,,,
girl,that could work,iMessage,0,q,,,,,,
girl,would after 7:30 be okay?,iMessage,0,q,,,,,,
self,works for me :),iMessage,0,q,,,,,,
girl,"okay, it's a date :)",iMessage,0,q,,,,,,
self,How's your week going so far?,iMessage,0,q,,,,,,
girl,hey :),iMessage,0,q,,,,,,
girl,"it's going okay, work hours have been pretty crazy",iMessage,0,q,,,,,,
self,"yeah, what's the schedule for the pharmacy, is it 24 hours?",iMessage,0,q,,,,,,
girl,"luckily we close at 10, my schedule has just been busier than usual this month",iMessage,0,q,,,,,,
self,ahhhhh,iMessage,0,q,,,,,,
self,"yeah, I think you work harder than me for sure haha",iMessage,0,q,,,,,,
girl,Lol. I doubt software engineering is easy,iMessage,0,q,,,,,,
self,meh,iMessage,0,q,,,,,,
self,"anyways haha, does tomorrow night still work well for you?",iMessage,0,q,,,,,,
girl,yep :),iMessage,0,q,,,,,,
girl,where are we meeting?,iMessage,0,q,,,,,,
self,let's see. what are you in the mood for?,iMessage,0,q,,,,,,
girl,I'm not picky when it comes to food,iMessage,0,q,,,,,,
self,hmmmm,iMessage,0,q,,,,,,
self,"okay, i have 3 options",iMessage,0,q,,,,,,
self,"gourmet BQQ, pho, or this chinese thai fusion place",iMessage,0,q,,,,,,
girl,such good options! hard to choose,iMessage,0,q,,,,,,
girl,Hmmmmm,iMessage,0,q,,,,,,
girl,Pho!,iMessage,0,q,,,,,,
self,wise decision,iMessage,0,q,,,,,,
girl,:),iMessage,0,q,,,,,,
self,"Okay, Sunflower Vietnamese Restaurant on connecticut street at 7:30?",iMessage,0,q,,,,,,
girl,perfect!,iMessage,0,q,,,,,,
self,"great, looking forward to it :)",iMessage,0,q,,,,,,
girl,me too,iMessage,0,q,,,,,,
self,see ya manana,iMessage,0,q,,,,,,
girl,see you then,iMessage,0,q,,,,,,
girl,"running late, sorry",iMessage,0,q,,,,,,
self,"no rush, take your time :)",iMessage,0,q,,,,,,
girl,"thank you, i'm about 15 min away now",iMessage,0,q,,,,,,
branch,,iMessage,0,q,,TRUE,,,,
