type,text,platform,wait_sec,thread,branch_type,next_thread,terminal_type,option_a_text,option_a_thread,option_b_text,option_b_thread
self,Hey Ana! Nice to meet you 😊,tinder,0,a,,,,,,,
self,How was your day?,tinder,0,a,,,,,,,
girl,Hey 😊,tinder,2,a,,,,,,,
girl,"It was good, work work work",tinder,1,a,,,,,,,
girl,And you?,tinder,1,a,,,,,,,
self,Haha same here,tinder,0,a,,,,,,,
self,What do you do for work?,tinder,0,a,,,,,,,
girl,I deal drugs,tinder,2,a,,,,,,,
girl,Aka I'm a pharmacist lol,tinder,2,a,,,,,,,
girl,You?,tinder,1,a,,,,,,,
branch,Decision time...,tinder,0,a,multi,,,Make a bad joke and be playful,b,Play it straight and show off your job,c
self,I'm a professional juggler,tinder,0,b,,,,,,,
self,"Kidding. Sorry, that was lame",tinder,0,b,,,,,,,
self,I'm in sales at Google,tinder,0,b,,,,,,,
girl,"That's really cool actually, and I like lame jokes ;)",tinder,2,b,,,,,,,
narrator,"Nice work. If you don't take yourself too seriously, it puts other people at ease. But you don't want to be a dancing clown either.",tinder,1,b,,,,,,,
branch,,tinder,0,b,linear,d,,,,,
self,I'm in sales at Google actually,tinder,0,c,,,,,,,
girl,"Ah, one of those guys...",tinder,2,c,,,,,,,
self,"Lol, what does that mean?",tinder,0,c,,,,,,,
girl,"Oh you know, tech bros lol",tinder,2,c,,,,,,,
self,I wouldn't say I'm a tech bro haha,tinder,0,c,,,,,,,
girl,"Okay, good to know",tinder,2,c,,,,,,,
narrator,Ouch. Got burned a little there. Moving on...,tinder,1,c,,,,,,,
branch,,tinder,0,c,linear,d,,,,,
branch,,tinder,0,d,multi,,,Start getting at her intentions,e,Express interest in her job,f
self,So have you met any cool people on this app?,tinder,0,e,,,,,,,
girl,Well I met you ;),tinder,2,e,,,,,,,
narrator,"Quite flirtatious! Try being polite and complimentary in return, but not creepy.",tinder,1,e,,,,,,,
narrator,Great job digging into a slightly taboo topic. It shows that you're comfortable with who you are.,tinder,1,e,,,,,,,
self,Awww you're sweet,tinder,0,e,,,,,,,
girl,What about you?,tinder,1,e,,,,,,,
branch,,tinder,0,e,linear,g,,,,,
self,So what got you interested in becoming a pharmacist?,tinder,0,f,,,,,,,
girl,"I don't know, it pays well",tinder,2,f,,,,,,,
girl,job stability,tinder,1,f,,,,,,,
self,fair enough,tinder,0,f,,,,,,,
narrator,Hmmm. That subject didn't seem to interesting to her. Let's try this...,tinder,1,f,,,,,,,
self,So have you met any cool people on this app?,tinder,0,f,,,,,,,
girl,Well I met you ;),tinder,2,f,,,,,,,
narrator,"Quite flirtatious! Try being polite and complimentary in return, but not creepy.",tinder,1,f,,,,,,,
narrator,Great job digging into a slightly taboo topic. It shows that you're comfortable with who you are.,tinder,0,f,,,,,,,
self,Awww you're sweet,tinder,0,f,,,,,,,
girl,What about you?,tinder,1,f,,,,,,,
branch,,tinder,0,f,linear,g,,,,,
branch,"Okay, so she's interested, but now you're in spotlight.",tinder,1,g,multi,,,Be honest about your love life,h,Shrug it off and move forward,i
self,"Yeah, I've met some great women on this app",tinder,0,h,,,,,,,
girl,Hah! So you meet a lot of girls?,tinder,2,h,,,,,,,
self,Hahaha,tinder,2,h,,,,,,,
self,Mayyybeee,tinder,2,h,,,,,,,
girl,Lol,tinder,2,h,,,,,,,
self,"Sorry, may have been too honest there",tinder,2,h,,,,,,,
girl,It's all good. I can appreciate that,tinder,8,h,,,,,,,
self,Thanks,tinder,2,h,,,,,,,
narrator,Most people appreciate honesty and transparency. It's a common courtesy in dating.,tinder,1,h,,,,,,,
self,And are you saying you haven't met guys from here?,tinder,2,h,,,,,,,
girl,Well I never said that ;),tinder,2,h,,,,,,,
self,Hahaha nice,tinder,2,h,,,,,,,
self,Good experience?,tinder,2,h,,,,,,,
girl,For the most part. There are some creeps on here,tinder,2,h,,,,,,,
narrator,Keep in mind that these apps can be a much different experience for women. Guys aren't always considerate and trustworthy.,tinder,0,h,,,,,,,
self,"Oh bummer. Yeah, I've heard some stories from my girl friends",tinder,2,h,,,,,,,
self,I think there are a some good people on here too,tinder,2,h,,,,,,,
girl,Are you a good person?,tinder,2,h,,,,,,,
girl,Kidding,tinder,1,h,,,,,,,
self,I like to think so 😊,tinder,2,h,,,,,,,
narrator,Nice work. ,tinder,1,h,,,,,,,
branch,,tinder,0,h,linear,j,,,,,
self,Hmmm. I haven't really met anyone yet,tinder,0,i,,,,,,,
girl,Really? You haven't been on a Tinder date?,tinder,2,i,,,,,,,
self,I mean I may have been on one or two,tinder,2,i,,,,,,,
girl,Lol,tinder,2,i,,,,,,,
girl,So you have met people then?,tinder,2,i,,,,,,,
self,"Well yeah, just not that many haha",tinder,2,i,,,,,,,
girl,I see,tinder,10,i,,,,,,,
narrator,Whomp whomp.,tinder,1,i,,,,,,,
branch,,tinder,0,i,linear,j,,,,,
branch,,tinder,0,j,multi,,,Find out what she's looking for,k,Be forward and ask her out?,l
self,"So what are you looking for on this app? Dating, relationship, friends, fun?",tinder,0,k,,,,,,,
girl,"Straight to the point, huh?",tinder,2,k,,,,,,,
self,Yep,tinder,2,k,,,,,,,
girl,It would be awesome to meet someone that I really click with,tinder,10,k,,,,,,,
narrator,"Even if this is different from what you want, be respectful and chill about it.",tinder,0,k,,,,,,,
self,Right on. I respect that,tinder,2,k,,,,,,,
girl,And you?,tinder,2,k,,,,,,,
girl,Fun? ;),tinder,2,k,,,,,,,
narrator,"You doubled down, and now she's calling you out.",tinder,1,k,,,,,,,
branch,,tinder,0,k,linear,m,,,,,
self,So would you like to have dinner sometime?,tinder,0,l,,,,,,,
girl,Sure,tinder,30,l,,,,,,,
self,Cool,tinder,2,l,,,,,,,
self,What's your schedule like?,tinder,2,l,,,,,,,
narrator,"Sorry to say, this is where the conversation dies. Plenty of fish in the sea.",tinder,1,l,,,,,,,
branch,,tinder,0,l,terminal,,fail,,,,
branch,,tinder,0,m,multi,,,Be honest about your casual intentions,n,Agree with her and lock in the date,o
self,Haha good question,tinder,0,n,,,,,,,
self,"I guess if I'm honest with myself, I just got out of a relationship, and have been focusing on work",tinder,2,n,,,,,,,
self,"So dating, friends, and fun. I generally like meeting new people 😊",tinder,2,n,,,,,,,
narrator,Great. Being honest and positive is generally appreciated by most people,tinder,2,n,,,,,,,
girl,Me too :),tinder,2,n,,,,,,,
self,It would be fun to meet in person sometime. Let me know if you'd like to get coffee or lunch someday.,tinder,2,n,,,,,,,
self,"My number is (256) 333-5956 full name is Colin Potrero, for Facebook stalking purposes ;) ",tinder,2,n,,,,,,,
girl,I'd like that haha.,tinder,2,n,,,,,,,
girl,My number is 2564722841,tinder,2,n,,,,,,,
narrator,"Awesome. You were up front, and now you're on the same page.",tinder,1,n,,,,,,,
branch,,tinder,0,n,linear,p,,,,,
self,I didn't mean it like that haha,tinder,0,o,,,,,,,
girl,Really? lol,tinder,0,o,,,,,,,
self,"Nah, I would say that I'm looking for someone that I really click with as well",tinder,0,o,,,,,,,
girl,So you're more the relationship type?,tinder,0,o,,,,,,,
self,"Yeah, I mean relationships and dating",tinder,0,o,,,,,,,
girl,Haha okay,tinder,0,o,,,,,,,
self,It would be fun to meet in person sometime. Let me know if you'd like to get coffee or lunch someday.,tinder,0,o,,,,,,,
self,"My number is (256) 333-5956 full name is Colin Potrero, for Facebook stalking purposes ;) ",tinder,0,o,,,,,,,
girl,I'd like that.,tinder,0,o,,,,,,,
girl,My number is 2564722841,tinder,0,o,,,,,,,
narrator,"Well, you got the date. But does she really have the right impression for what you want?",tinder,0,o,,,,,,,
branch,,tinder,0,o,linear,p,,,,,
narrator,Good move with putting her in control of the date. Lunch or coffee during the day is always a safe bet.,tinder,0,p,,,,,,,
branch,,tinder,0,p,linear,q,,,,,
self,Hello there :) This is Colin,iMessage,0,q,,,,,,,
girl,heyyy,iMessage,0,q,,,,,,,
self,what are you up to right now?,iMessage,0,q,,,,,,,
girl,"just off work, heading to the gym",iMessage,2700,q,,,,,,,
self,nice,iMessage,0,q,,,,,,,
self,what do you like to do for exercise?,iMessage,0,q,,,,,,,
girl,I usually take the classes,iMessage,0,q,,,,,,,
girl,tonight i'm taking the kickboxing one but also really into hot yoga,iMessage,0,q,,,,,,,
self,oh cool!,iMessage,0,q,,,,,,,
self,remind me not to mess with you,iMessage,0,q,,,,,,,
girl,"yeah, you better not ;)",iMessage,0,q,,,,,,,
self,hahaha,iMessage,0,q,,,,,,,
self,of course not,iMessage,0,q,,,,,,,
self,so what's your schedule like this week?,iMessage,0,q,,,,,,,
girl,hmmmm,iMessage,0,q,,,,,,,
girl,"i'm free on Saturday during the day, but work in the late afternoon",iMessage,0,q,,,,,,,
girl,or in the evening on Wednesday and Thursday,iMessage,0,q,,,,,,,
branch,Decision time...,iMessage,0,q,multi,,,Ask her out to dinner,r,Stick with the plan for a day date,s
self,would you like to meet for dinner in the city on Thursday evening?,iMessage,0,r,,,,,,,
girl,that could work,iMessage,0,r,,,,,,,
girl,would after 7:30 be okay?,iMessage,0,r,,,,,,,
self,works for me 😊,iMessage,0,r,,,,,,,
girl,"okay, it's a date :)",iMessage,0,r,,,,,,,
branch,,iMessage,0,r,linear,t,,,,,
self,"okay cool, so Saturday works best for coffee or lunch?",iMessage,0,s,,,,,,,
girl,"yeah, that would work",iMessage,0,s,,,,,,,
self,right on. what time is good?,iMessage,0,s,,,,,,,
girl,let me check my schedule. i think i have work at 2,iMessage,0,s,,,,,,,
self,"okay, so maybe lunch at 12?",iMessage,0,s,,,,,,,
girl,i think so,iMessage,0,s,,,,,,,
girl,let me text you when we get closer to the weekend,iMessage,0,s,,,,,,,
narrator,"Well, she definitely wanted to have dinner, and this is where it drops off.",iMessage,0,s,,,,,,,
branch,,iMessage,0,s,terminal,,fail,,,,
branch,Your date is coming up tomorrow.,iMessage,0,t,multi,,,Text the day before to check in.,u,Wait until day of.,v
self,How's your week going so far?,iMessage,0,u,,,,,,,
girl,hey 😊,iMessage,0,u,,,,,,,
girl,"it's going okay, work hours have been pretty crazy",iMessage,0,u,,,,,,,
self,"yeah, what's the schedule for the pharmacy, is it 24 hours?",iMessage,0,u,,,,,,,
girl,"luckily we close at 10, my schedule has just been busier than usual this month",iMessage,0,u,,,,,,,
self,ahhhhh,iMessage,0,u,,,,,,,
self,"yeah, I think you work harder than me for sure",iMessage,0,u,,,,,,,
girl,Maybe. I doubt sales is easy,iMessage,0,u,,,,,,,
self,meh,iMessage,0,u,,,,,,,
self,"anyways haha, does tomorrow night still work well for you?",iMessage,0,u,,,,,,,
girl,yep :),iMessage,0,u,,,,,,,
narrator,Asking if the date still works for the person gives them the flexibility to say yes or no. This is a good thing.,iMessage,0,u,,,,,,,
girl,where are we meeting?,iMessage,0,u,,,,,,,
self,let's see. what are you in the mood for?,iMessage,0,u,,,,,,,
narrator,This can go either way. Giving options first can show you're thoughtful. Leaving it open gives a higher chance that she will enjoy the spot and feel comfortable - if she has a ready answer.,iMessage,0,u,,,,,,,
girl,I'm not picky when it comes to food,iMessage,0,u,,,,,,,
self,hmmmm,iMessage,0,u,,,,,,,
branch,,iMessage,0,u,linear,w,,,,,
self,hey there! still good for tonight?,iMessage,0,v,,,,,,,
girl,hey there,iMessage,0,v,,,,,,,
girl,i'm sorry to do this but i think i need to reschedule,iMessage,0,v,,,,,,,
girl,is that okay?,iMessage,0,v,,,,,,,
self,oh,iMessage,0,v,,,,,,,
self,"yeah, that's okay",iMessage,0,v,,,,,,,
girl,okay cool,iMessage,0,v,,,,,,,
girl,thanks 😊,iMessage,0,v,,,,,,,
