type,text,platform,wait_sec,thread,branch_type,next_thread,terminal_type,option_a_text,option_a_thread,option_b_text,option_b_thread
girl,"Hey Kevin, nice to meet you",bumble,0,a,,,,,,,
self,Hello Jessica- nice to meet you too!,bumble,0,a,,,,,,,
self,How is your week going so far?,bumble,2,a,,,,,,,
girl,So far so good. And with you?,bumble,2,a,,,,,,,
self,"Pretty great. This weather has been amazing, so I got some time outdoors today.",bumble,2,a,,,,,,,
narrator,Nice job keeping it positive. People are generally attracted to positive energy.,bumble,1,a,,,,,,,
branch,Where should we take this conversation?,bumble,0,a,multi,,,Figure out why she is on a dating app,b,Learn more about her,c
self,Have you met any cool people on this app yet?,bumble,0,b,,,,,,,
girl,"Hahaha, I've met a few people",bumble,10,b,,,,,,,
girl,"But honestly, I mostly use it for entertainment",bumble,2,b,,,,,,,
girl,When I'm bored lol,bumble,2,b,,,,,,,
girl,How about you?,bumble,2,b,,,,,,,
self,"Yeah, I've met some great women on this app",bumble,2,b,,,,,,,
self,"I think meeting new people is one of the best parts of life, so overall I think dating apps are net positive",bumble,2,b,,,,,,,
narrator,That's what I'm talking about with positive vibes. Nice work. Let's see how she responds,bumble,1,b,,,,,,,
girl,I totally agree :),bumble,10,b,,,,,,,
branch,,bumble,0,b,linear,d,,,,,
self,What do you do for work? :),bumble,0,c,,,,,,,
girl,I work as a clinical assistant for a chronic pain clinic and functional rehab center,bumble,8,c,,,,,,,
girl,What do you do?,bumble,2,c,,,,,,,
self,Wow. That sounds like a really cool job. How long have you been in healthcare for?,bumble,2,c,,,,,,,
self,I'm in business analytics,bumble,2,c,,,,,,,
girl,I actually just graduated a year ago. I was an EMT for a little bit and then in this job since then.,bumble,10,c,,,,,,,
girl,That's cool. Did you study analytics in school?,bumble,2,c,,,,,,,
self,"I did, but honestly I learned more outside of school than in school.",bumble,2,c,,,,,,,
narrator,It's nice to get to know people. But conversation like this can get really dry talking through an app. Perhaps try another topic?,bumble,1,c,,,,,,,
branch,,bumble,0,c,linear,d,,,,,
branch,,bumble,0,d,multi,,,Move toward asking her out,e,Ask about her interests and hobbies,f
self,So what are some of your favorite date activities?,bumble,0,e,,,,,,,
girl,Hahaha,bumble,10,e,,,,,,,
girl,Hmmmm. I like going out to eat. I think most people do haha,bumble,4,e,,,,,,,
girl,How about you?,bumble,2,e,,,,,,,
narrator,She's not really opening up much but that's ok. Keep it positive and be the first to open up.,bumble,2,e,,,,,,,
self,"I like going out to eat as well :) I also like going on hikes, and checking out museums and art shows.",bumble,2,e,,,,,,,
branch,,bumble,0,e,linear,g,,,,,
self,So what do you like to do when you're not working?,bumble,0,f,,,,,,,
narrator,"Sorry to say, this is where the conversation ends. Next time try asking some questions that are a little more interesting or unexpected.",bumble,1,f,,,,,,,
branch,,bumble,0,f,terminal,,fail,,,,
branch,,bumble,0,g,multi,,,Ask her out to dinner,h,Ask her to at an event,i
self,So would you like to go out to dinner sometime?,bumble,0,h,,,,,,,
narrator,"Sometimes people just don't respond. It's nothing personal. Keep on moving, and maintain a positive attitude.",bumble,2700,h,,,,,,,
branch,,bumble,0,h,terminal,,fail,,,,
self,"There's this weekly event at the academy of sciences called nightlife, have you heard of it?",bumble,0,i,,,,,,,
girl,I have not. What is it?,bumble,10,i,,,,,,,
self,"Basically the academy of sciences has all of these cool exhibits and an aquarium, and they do an after hours event on Thursday nights with music and drinks.",bumble,2,i,,,,,,,
self,It's a pretty fun time,bumble,2,i,,,,,,,
girl,It sounds really neat :),bumble,8,i,,,,,,,
self,Would you be open to going this Thursday? Maybe we can get something to eat before or after?,bumble,2,i,,,,,,,
girl,"Yeah, that sounds like fun :)",bumble,4,i,,,,,,,
self,great!,bumble,2,i,,,,,,,
self,Want to coordinate over text? My number is (256) 333-5956,bumble,2,i,,,,,,,
girl,Sure,bumble,8,i,,,,,,,
girl,My number is 2564722841,bumble,2,i,,,,,,,
narrator,"Sounds like a super fun event, great move offering a unique date idea.",bumble,0,i,,,,,,,
branch,,bumble,0,i,linear,j,,,,,
self,Hello there :) This is Colin,iMessage,0,j,,,,,,,
girl,Hey Colin :),iMessage,2,j,,,,,,,
self,How's your evening going?,iMessage,0,j,,,,,,,
girl,"Pretty well, just at home cooking dinner",iMessage,2,j,,,,,,,
self,Nice! What are you cooking?,iMessage,0,j,,,,,,,
girl,Pasta and salad ,iMessage,2,j,,,,,,,
girl,What are you up to?,iMessage,2,j,,,,,,,
self,Was about to head to the gym actually,iMessage,0,j,,,,,,,
narrator,Subtle information that displays that you're healthy and well rounded can go a long way.,iMessage,1,j,,,,,,,
narrator,"Good that you're not readily available or ""doing nothing"". Dating is like scarcity in economics. Everyone wants what is low in supply.",iMessage,1,j,,,,,,,
girl,Nice :),iMessage,2,j,,,,,,,
self,"So for this Thursday, the event goes from 6-10. When is a good time for you?",iMessage,0,j,,,,,,,
girl,Hmmmm,iMessage,2,j,,,,,,,
girl,I think 7 or 8 would be best,iMessage,1,j,,,,,,,
self,Either works for me. Should we say 7:30?,iMessage,0,j,,,,,,,
self,"Also, would you like me to pick you up, or would you like to meet there?",iMessage,0,j,,,,,,,
narrator,"Good move. Sometimes women don't like the idea of a stranger picking them up. It's always nice to offer, but make it an option.",iMessage,1,j,,,,,,,
girl,You can pick me up at my place at 7:30.,iMessage,2,j,,,,,,,
girl,My address is 1228 Potrero in the Mission,iMessage,1,j,,,,,,,
self,Great! See you Thursday at 7:30,iMessage,0,j,,,,,,,
branch,,iMessage,0,j,linear,k,,,,,
branch,Your date is coming up tomorrow.,iMessage,0,k,multi,,,Text the day before to check in,l,Wait until day of,m
self,Hey Jessica! Still on for tomorrow night?,iMessage,0,l,,,,,,,
girl,Yessir :),iMessage,2,l,,,,,,,
self,Great! I'll see you at 7:30. Looking forward to it.,iMessage,0,l,,,,,,,
girl,Same!,iMessage,1,l,,,,,,,
branch,,iMessage,0,l,linear,n,,,,,
self,Hey Jessica! Still on for tonight?,iMessage,0,m,,,,,,,
girl,Hey there,iMessage,2,m,,,,,,,
girl,Yep. 7:30?,iMessage,1,m,,,,,,,
self,Yeah! Looking forward to it.,iMessage,0,m,,,,,,,
girl,Same!,iMessage,1,m,,,,,,,
branch,,iMessage,0,m,linear,n,,,,,
self,Thanks for meeting up with me tonight Jessica!,iMessage,0,n,,,,,,,
girl,Thank you for dinner :) Twas yummy,iMessage,2,n,,,,,,,
self,You're welcome :),iMessage,0,n,,,,,,,
self,I hope you have a good night,iMessage,0,n,,,,,,,
girl,Night!,iMessage,2,n,,,,,,,
branch,"Okay okay. Seems like you had a decent date. Wait a couple days, and follow up to see how she is and ask her out again.",iMessage,0,n,terminal,,success,,,,
