type,text,platform,wait_sec,thread,branch_type,next_thread,terminal_type,option_a_text,option_a_thread,option_b_text,option_b_thread
self,Hey Christina! Nice to meet you :) How was your day?,tinder,0,a,,,,,,,
girl,Heyyyy,tinder,0,a,,,,,,,
girl,"It was okay, and yours?",tinder,0,a,,,,,,,
self,Hahaha,tinder,0,a,,,,,,,
self,"It was chill, just worked for the most part",tinder,0,a,,,,,,,
girl,Okay ;),tinder,0,a,,,,,,,
narrator,"Okay, clearly something is going on here with the ""heyyy"" and the winky face. What's your move?",tinder,0,a,,,,,,,
branch,,tinder,0,a,multi,,,Make a strong move and ask what she's doing tonight,b,Figure out why she is on the app,c
self,So what are you up to tonight?,tinder,0,b,,,,,,,
girl,Hmmmmm,tinder,2,b,,,,,,,
girl,Good question hahaha,tinder,0,b,,,,,,,
girl,"Just at home now, but I'm feeling pretty bored",tinder,0,b,,,,,,,
self,Oh yeah?,tinder,0,b,,,,,,,
girl,Yeah haha,tinder,2,b,,,,,,,
narrator,"Well, it's pretty clear that she is looking for something. Your choice on how to proceed.",tinder,1,b,,,,,,,
branch,,tinder,0,b,linear,d,,,,,
self,So have you met any cool people on this app?,tinder,0,c,,,,,,,
girl,"I have met a few, yeah ;)",tinder,2,c,,,,,,,
girl,lol,tinder,0,c,,,,,,,
self,nice haha,tinder,0,c,,,,,,,
self,;),tinder,0,c,,,,,,,
girl,so what are you up to tonight?,tinder,2,c,,,,,,,
self,I'm just at home right now,tinder,0,c,,,,,,,
branch,,tinder,0,c,linear,d,,,,,
branch,,tinder,0,d,multi,,,Go for it,e,Not in the mood tonight. Push for another time,f
self,Want to hang out tonight?,tinder,0,e,,,,,,,
girl,That could be fun ;),tinder,0,e,,,,,,,
girl,"But, I have something to tell you first",tinder,0,e,,,,,,,
self,Hahaha okay,tinder,0,e,,,,,,,
girl,"So, I have a boyfriend",tinder,8,e,,,,,,,
girl,But we have an open relationship,tinder,0,e,,,,,,,
self,"Ah, okay",tinder,0,e,,,,,,,
self,That's cool,tinder,0,e,,,,,,,
narrator,"Good job. Have an open mind, and be polite and understand of other people's relationship preferences and sexuality.",tinder,1,e,,,,,,,
girl,Thanks!,tinder,0,e,,,,,,,
girl,"So I can meet up, but there are some rules",tinder,0,e,,,,,,,
girl,"We can hangout, but I'm not available for dating",tinder,0,e,,,,,,,
girl,Is that okay with you?,tinder,0,e,,,,,,,
branch,,tinder,0,e,linear,g,,,,,
self,We should totally meet up sometime. ,tinder,0,f,,,,,,,
self,"I would be down to meet tonight, but I'm exhausted",tinder,0,f,,,,,,,
girl,"Hahaha, it's all good :)",tinder,2,f,,,,,,,
self,Want to meet up another time this week?,tinder,0,f,,,,,,,
girl,That could work :),tinder,0,f,,,,,,,
girl,"But, I have something to tell you first",tinder,0,f,,,,,,,
self,Hahaha okay,tinder,0,f,,,,,,,
girl,"So, I have a boyfriend",tinder,0,f,,,,,,,
girl,But we have an open relationship,tinder,0,f,,,,,,,
self,"Ah, okay",tinder,0,f,,,,,,,
self,That's cool,tinder,0,f,,,,,,,
narrator,"Good job. Have an open mind, and be polite and understand of other people's relationship preferences and sexuality. Even if it's not you, there is no need to judge.",tinder,0,f,,,,,,,
