type,text,platform,wait_sec,thread,branch_type,next_thread,terminal_type,option_a_text,option_a_thread,option_b_text,option_b_thread
self,"Welp, my grandparents met on Tinder so I figured I'd give it a shot",tinder,0,a,,,,,,,
girl,Haha,tinder,0,a,,,,,,,
self,😎,tinder,0,a,,,,,,,
self,How's your weekend going?,tinder,0,a,,,,,,,
girl,It's good! Chill weekend,tinder,0,a,,,,,,,
girl,How was yours?,tinder,0,a,,,,,,,
branch,,tinder,0,a,multi,,,Hung out with friends,b,Caught up on some work,c
self,"Nice, yeah mine was pretty chill too. Just went out with some friends and hung out a lot outside lol",tinder,0,b,,,,,,,
branch,,tinder,0,b,linear,d,,,,,
self,It was pretty good. Caught up on some work and caught a bit of sun,tinder,0,c,,,,,,,
branch,,tinder,0,c,linear,d,,,,,
self,Is that your dog in the photos?,tinder,0,d,,,,,,,
girl,He's my brothers,tinder,0,d,,,,,,,
girl,Such a big cutie pie,tinder,0,d,,,,,,,
self,Haha yeah he is,tinder,0,d,,,,,,,
narrator,She doesn't seem too engaged in the conversation. Find some way to bring out the emotion or excitement.,tinder,0,d,,,,,,,
branch,,tinder,0,d,multi,,,Talk about where she's from,e,Talk about your dog,f
self,So I'm guessing you're from Canada then?,tinder,0,e,,,,,,,
girl,Yap,tinder,0,e,,,,,,,
girl,Vancouver,tinder,0,e,,,,,,,
self,"Sweet, I've heard Vancouver is fun. How long u been in NY now?",tinder,0,e,,,,,,,
girl,Almost 3 months. Love it,tinder,0,e,,,,,,,
narrator,Slow it with the questions. She doesn't seem to be wanting to open up.,tinder,0,e,,,,,,,
self,Lol u don't like talking on Tinder do you,tinder,0,e,,,,,,,
girl,Hahah how'd you know?,tinder,0,e,,,,,,,
branch,,tinder,0,e,linear,g,,,,,
self,What's his name / how old is he?,tinder,0,f,,,,,,,
girl,His name is Lunchbox and he's 6,tinder,0,f,,,,,,,
self,Dogs are the best,tinder,0,f,,,,,,,
girl,I know!! Right,tinder,0,f,,,,,,,
self,My pup's name is Rolo. He is always down to hang,tinder,0,f,,,,,,,
girl,How long have you had him for?,tinder,0,f,,,,,,,
self,Since he was 4 months,tinder,0,f,,,,,,,
girl,Awww that's sweeet. You've had him since he was a puppy,tinder,0,f,,,,,,,
self,Yep,tinder,0,f,,,,,,,
branch,,tinder,0,f,linear,g,,,,,
self,Wanna get coffee later this week? I'll show you a couple of my favorite spots in the city,tinder,0,g,,,,,,,
girl,Yes I'm down. But it'll have to be next week? I'm going to DC tmr to take care of my aunties dog. She's going away for the week,tinder,0,g,,,,,,,
self,"Haha aw that's cute. And yeah, next week works fine",tinder,0,g,,,,,,,
narrator,Well played. Sometimes the best move is to go directly to meeting up or texting instead of chit chat on the platform. A lot of folks are busy and want to skip the penpal phase.,tinder,0,e,,,,,,,
self,What's your number?,tinder,0,g,,,,,,,
girl,(256) 472-2841,tinder,0,g,,,,,,,
self,Cool I'll text you so you have my # too,tinder,0,g,,,,,,,
branch,,tinder,0,g,terminal,,success,,,,
