type,text,platform,wait_sec,thread,branch_type,next_thread,terminal_type,option_a_text,option_a_thread,option_b_text,option_b_thread
self,Hi Jane- nice to meet you! How is your week going so far?,tinder,0,a,,,,,,,
girl,It's going! How about you ?,tinder,0,a,,,,,,,
self,"Super busy, but really well :) Are you in the city or the east bay?",tinder,0,a,,,,,,,
girl,City! You?,tinder,0,a,,,,,,,
girl,Just finished dinner w some friends and was explaining tinder! This is addicting hehe,tinder,0,a,,,,,,,
self,"Riverside, so right across the bridge.",tinder,0,a,,,,,,,
girl,Your where ikea and eq3 are!,tinder,0,a,,,,,,,
self,Yeah it is! Hahaha,tinder,0,a,,,,,,,
self,Yep! That's right haha,tinder,0,a,,,,,,,
girl,:). What do you do besides sit at the park ?,tinder,0,a,,,,,,,
self,"Lol. I'm a research scientist, no big deal.",tinder,0,a,,,,,,,
self,What do you do for work?,tinder,0,a,,,,,,,
girl,Oh cool! Well nerd alert over here... I'm an accountant,tinder,0,a,,,,,,,
self,"I think being an accountant is a super valuable job! We had a horrible CPA our first year, and switched to a better firm, and it makes a big difference! What interests you in finance?",tinder,0,a,,,,,,,
narrator,"Enthusiasm is great - you want to show some personality, but be careful not to overdo it.",tinder,0,a,,,,,,,
girl,Sorry I was just juicing !,tinder,0,a,,,,,,,
girl,Beets carrots and orangs,tinder,0,a,,,,,,,
girl,Oranges*,tinder,0,a,,,,,,,
girl,"Haha, actually been doing accounting for almost 10 yrs, thinking of my next move :)",tinder,0,a,,,,,,,
girl,We'll ses,tinder,0,a,,,,,,,
girl,See*,tinder,0,a,,,,,,,
self,How healthy of you!,tinder,0,a,,,,,,,
girl,:),tinder,0,a,,,,,,,
girl,Well so this could be a deal breaker for ya!,tinder,0,a,,,,,,,
girl,I just got braces! Full braces,tinder,0,a,,,,,,,
girl,Top and bottom,tinder,0,a,,,,,,,
self,So you're greeting a little tired of finance? What do you think you might get into next?,tinder,0,a,,,,,,,
self,"Oh that's cute! And smart, gotta take care of those pearly whites!",tinder,0,a,,,,,,,
narrator,"Well played, you could have focused on finance but you chose to stay in the moment and go with the flow of the conversation. Also kept it forward looking.",tinder,0,a,,,,,,,
girl,"Haha. Well I can't give away all my secrets! We haven't even met yet. I already know, just need to commit to it",tinder,0,a,,,,,,,
self,I don't know why that would be a deal breaker haha.,tinder,0,a,,,,,,,
girl,"It'll be a big lifestyle change to, I have a sweet little set up where I'm at now. So will be an adjustment financially",tinder,0,a,,,,,,,
girl,Haha! Well now I look 22,tinder,0,a,,,,,,,
girl,;),tinder,0,a,,,,,,,
self,Hahaha,tinder,0,a,,,,,,,
self,"So out of curiosity, what are you in the market for in terms of using Tinder? Usually a question that I ask in person, but I thought I'd throw it out there :)",tinder,0,a,,,,,,,
narrator,"Being direct and asking about someone's intentions early on is a good way to save time, show confidence and find out if you're both on the same page. Just make sure it doesn't sound like you're taking a survey.",tinder,0,a,,,,,,,
narrator,"Food for thought: sometimes word choice can have a different feel for a guy than for a girl. ""In the market"" might rub someone the wrong way.",tinder,0,a,,,,,,,
girl,Haha! Ok so this is literally my 2nd day!,tinder,0,a,,,,,,,
girl,Of being on here! I signed up last night at the giants baseball game as one of my gfs highly recommended it!,tinder,0,a,,,,,,,
girl,I've been on maybe a bit more than 24 hours,tinder,0,a,,,,,,,
self,Oh cool! How do you like it so far?,tinder,0,a,,,,,,,
girl,It's fun! How long have you been on this?,tinder,0,a,,,,,,,
girl,I mean truthfully what do you use this for?,tinder,0,a,,,,,,,
narrator,"Notice ""truthfully"", it's subtle words like this that give you an indication that she's comfortable chatting with you whether you're looking for something casual, serious or in between. Even if it's not what she's looking for.",tinder,0,a,,,,,,,
self,Yeah I think it's pretty fun too! I've been on it for maybe a month now,tinder,0,a,,,,,,,
self,I use it to meet people! And it works really well :),tinder,0,a,,,,,,,
girl,Are you just looking to hook up w girls?,tinder,0,a,,,,,,,
girl,Bc honestly my gay friend showed me this a month ago and I dismissed it bc I thought it was like grinder! (Gay hookup app),tinder,0,a,,,,,,,
branch,What do you say?,tinder,0,a,multi,,,Be subtle but clear,b,Be very direct,c
self,Hahahaha. It's definitely not grinder,tinder,0,c,,,,,,,
self,"To be honest, I'm looking for something casual ;)",tinder,0,c,,,,,,,
girl,Oh really? I heard that's what all the cool kids are into these days :).,tinder,0,c,,,,,,,
self,"So you think I'm cool, huh? You have pretty good judgment there!",tinder,0,c,,,,,,,
self,So why did your gf recommend tinder? Y'all going to do some double-dating ;p,tinder,0,c,,,,,,,
girl,"Haha, I don't know about that. I'm more just checking it out for fun.",tinder,0,c,,,,,,,
narrator,Honesty is always a great policy but sometimes there are more artful ways to show your intentions. Being too direct can be make it feel more transactional and cold.,tinder,0,c,,,,,,,
branch,,tinder,0,c,linear,d,,,,,
self,Hahahaha. It's definitely not grinder,tinder,0,b,,,,,,,
self,"I'm not looking for casual sex, if that's what you're asking. But I also wouldn't say that I'm looking for a long term serious relationship",tinder,0,b,,,,,,,
girl,Well some guy already asked me! So I wasn't sure. Anyway that's Not for me,tinder,0,b,,,,,,,
girl,Yeah i am. Maybe this isn't The Best avenue for me :),tinder,0,b,,,,,,,
self,"I'm in a place right now where I'm dating. Sometimes that's coffee or dinner, sometimes that means making new friends, sometimes more than friends",tinder,0,b,,,,,,,
branch,,tinder,0,d,linear,d,,,,,
girl,"Yeah, I'm in a diff space than you",tinder,0,d,,,,,,,
self,I totally respect that! :),tinder,0,d,,,,,,,
girl,I've been in sf 8 yrs now. Been all over the world and happy place,tinder,0,d,,,,,,,
girl,Would love to share w someone special,tinder,0,d,,,,,,,
narrator,Pretty clear you're obviously looking for different things. Best move here is to politely let the conversation run it's course.,tinder,0,d,,,,,,,
self,Have you tried ok Cupid?,tinder,0,d,,,,,,,
girl,So casual is not for me!,tinder,0,d,,,,,,,
girl,Yeah. Moved onto match now ;),tinder,0,d,,,,,,,
self,Awwww that's so sweet :),tinder,0,d,,,,,,,
self,Yeah my friends have liked match.com,tinder,0,d,,,,,,,
girl,I guess if I want to be real serious I gotta get on eharmony!!!,tinder,0,d,,,,,,,
girl,"Yeah, 30 is too young for me ;)",tinder,0,d,,,,,,,
self,No! That's for old people. You're young,tinder,0,d,,,,,,,
girl,"You boys wanna just have fun, diff place in life is all",tinder,0,d,,,,,,,
girl,S'all good though,tinder,0,d,,,,,,,
self,Lol. I'll take that as a compliment,tinder,0,d,,,,,,,
self,I do want to have fun!,tinder,0,d,,,,,,,
girl,As you should ;),tinder,0,d,,,,,,,
self,"And so do women, thank you very much ;)",tinder,0,d,,,,,,,
self,Well I truly hope you find a wonderful caring partner to share your life with!,tinder,0,d,,,,,,,
self,"Just based off your energy, you seem like a catch! :)",tinder,0,d,,,,,,,
girl,Aww gracias!,tinder,0,d,,,,,,,
girl,And you will continue to do well on This I'm sure of it ;),tinder,0,d,,,,,,,
girl,Take care :),tinder,0,d,,,,,,,
self,You too!,tinder,0,d,,,,,,,
narrator,"Sometimes you'll find people are curious and just want to chat. That's fine, just learn how to identify that, be kind, and move on to interactions that get you closer to what you want.",tinder,0,d,,,,,,,
branch,"Good job, and on to the next one...",tinder,0,d,terminal,,success,,,,
