type,text,platform,wait_sec,thread,branch_type,terminal_type,next_thread,option_a_text,option_a_thread,option_b_text,option_b_thread
girl,Hello Joe,bumble,0,a,,,,,,,
self,"Hello Mai! Nice to ""meet"" you :) How was your week?",bumble,0,a,,,,,,,
girl,"Nice to ""meet"" you too,Joe ;) Weekend has been busy and finally relaxing at home. How's your weekend?",bumble,0,a,,,,,,,
self,Very nice! Did you do anything exciting? I spent lots of time with friends and exercising. I also cooked a lot of food :),bumble,0,a,,,,,,,
girl,I also met with friends on Saturday and watched movie. But today I had some me time and I went bike shopping- proudly got my first road bike ;),bumble,0,a,,,,,,,
narrator,She seems keen to open up and tell you about herself. Good start!,bumble,0,a,,,,,,,
self,That's great! Are you in brooklyn or the city?,bumble,0,a,,,,,,,
girl,I'm in the city. You?,bumble,0,a,,,,,,,
self,I'm right across the bridge in Brooklyn :),bumble,0,a,,,,,,,
self,Are you a photographer?,bumble,0,a,,,,,,,
girl,Cool. You need cross the bridge dude ;),bumble,0,a,,,,,,,
girl,I'm not a photographer but was interested in playing with cameras before. Why?,bumble,0,a,,,,,,,
narrator,Very flirty. Also inquisitive which is always a good sign. Already lots of things she's thrown out there that you can talk about.,bumble,0,a,,,,,,,
self,I do all the time! I love the city. Where do you live in the city?,bumble,0,a,,,,,,,
self,Just curious. Saw your picture,bumble,0,a,,,,,,,
self,What do you do for work?,bumble,0,a,,,,,,,
girl,I live on Chelsea. Not that far away from the bridge;),bumble,0,a,,,,,,,
girl,Finance. How about you? Do you work in the city?,bumble,0,a,,,,,,,
self,I run a small creative agency. We're over in Williamsburg,bumble,0,a,,,,,,,
self,That's cool! Where did you go to school?,bumble,0,a,,,,,,,
narrator,This is starting to feel like a job interview. Let's move on to a more interesting question.,bumble,0,a,,,,,,,
girl,Sounds cool. What kind of creativity do you do?,bumble,0,a,,,,,,,
girl,Columbia,bumble,0,a,,,,,,,
self,We make online videos!,bumble,0,a,,,,,,,
self,What kind of finance do you do? Did you like Columbia?,bumble,0,a,,,,,,,
girl,I work in banking. Yes I did enjoy studying in Columbia. I think everyone likes their own schools.,bumble,0,a,,,,,,,
self,That's awesome!,bumble,0,a,,,,,,,
self,"I actually wasn't too thrilled with my undergrad. If I could do it again, I'd go elsewhere lol",bumble,0,a,,,,,,,
girl,Did you also go to Columbia?,bumble,0,a,,,,,,,
self,Nope! NYC.,bumble,0,a,,,,,,,
girl,"I went to NYC once, the neighborhood is beautiful.",bumble,0,a,,,,,,,
self,It is a very beautiful location!,bumble,0,a,,,,,,,
girl,Yes. San Diego is a beautiful town,bumble,0,a,,,,,,,
narrator,"This conversation is getting dull really quickly. Since it's moving along quickly it's more acceptable, but let's try to move the conversation to something exciting or interesting.",bumble,0,a,,,,,,,
narrator,Let's try getting to her intentions on the app.,bumble,0,a,,,,,,,
self,How do you like tinder? Have you met with anyone yet?,bumble,0,a,,,,,,,
girl,Just started playing. Heard a lot of good and bad things about it. I think it all depends on how you use it.,bumble,0,a,,,,,,,
girl,How do you think?,bumble,0,a,,,,,,,
narrator,She's new to it and seems open to finding out more.,bumble,0,a,,,,,,,
self,"I think it's great! I've had it since it came out 2 years ago, and I've met a lot of cool people. Maybe it's because I'm a guy, or I've just been fortunate meeting people",bumble,0,a,,,,,,,
self,What bad things have you heard?,bumble,0,a,,,,,,,
girl,Some people say it's just a hookup place,bumble,0,a,,,,,,,
girl,Even that's not 100% bad comment,bumble,0,a,,,,,,,
narrator,Interesting! Didn't expect that. Let's see where this goes.,bumble,0,a,,,,,,,
