type,text,platform,wait_sec,thread,next_thread,terminal,option_a_text,option_a_thread,option_b_text,option_b_thread
self,Hey there. How's it goin?,tinder,0,a,,,,,,
girl,Hey! Haha not bad. You?,tinder,0,a,,,,,,
self,I'm doing good. Finally Friday :)  Do you have anything fun going on this weekend?,tinder,0,a,,,,,,
girl,Yeah! Thank god it's the weekend! I went to drake last night and I'm hitting up weeknd tonight. You?,tinder,0,a,,,,,,
self,"Nice! I was about to last night too, but got too busy :( Sounds like a pretty awesome weekend",tinder,0,a,,,,,,
self,I'm going out for a friend's bday thing. Should be a fun time,tinder,0,a,,,,,,
self,So did u grow up in LA?,tinder,0,a,,,,,,
girl,Oh bdays are the best! More excuses to drink right? Haha,tinder,0,a,,,,,,
girl,Hmmm I kinda moved every year or so as a kid. But I graduated high school in Socal so I kinda count it as being from the Cali 😹 you?,tinder,0,a,,,,,,
self,"Haha yes, too many excuses to drink unfortunately haha",tinder,0,a,,,,,,
self,That sounds pretty cool. Where else did you live?,tinder,0,a,,,,,,
self,Happy Monday! Hope you're mostly recovered from the weekend :P,tinder,0,a,,,,,,
self,Are you around later this week? Do you want to grab coffee or something?,tinder,0,a,,,,,,
girl,"Oh my goodness! I'm so so sorry, it's midterms this week so I've been super swamped with studying. I'm actually gonna be busy with school till Thursday and then headed down to SD for a music festival to celebrate end of midterms ✌️ Raincheck tho??",tinder,0,a,,,,,,
self,Hahaha alright so I'm guessing you're really into live music,tinder,0,a,,,,,,
self,"And yeah, raincheck sounds fine. G'luck with your exams, and have a good time in SD :)",tinder,0,a,,,,,,
self,What's your #? I'll text your closer to next week to see when we're both free to meet up,tinder,0,a,,,,,,
girl,Thanks! Hopefully I'm not totally brain dead after the festival lol. I'm 5555555555. Ping me whenever :),tinder,0,a,,,,,,
self,"Haha sweet, I'll text you so you have my # too",tinder,0,a,,,,,,
branch,,tinder,0,a,,TRUE,,,,
